cnes,uf,ibge,nome,logradouro,bairro,latitude,longitude
3212076,53,530010,UBS 13 VILA NOVA SAO SEBASTIAO,RUA 52 CASA 41,VILA NOVA,-15.9093336697,-47.7593064308
3254887,53,530010,UBS 2 T R E SAO SEBASTIAO,QUADRA 101 CONJ 02 LOTE 01,SAO SEBASTIAO,-15.9016139404,-47.7749593464
3254909,53,530010,UBS 19 VILA DO BOA SAO SEBASTIAO,RUA 07 CASA 400,SAO SEBASTIAO,-15.8765918854,-47.7930511496
3286932,53,530010,UBS 10 JOAO CANDIDO SAO SEBASTIAO,RUA 14 LOTE 21 LOJAS 1 2 E 3,JARDIM BOTANICO,-15.8979967434,-47.7612557215
3286975,53,530010,UBS 2 QUADRA 18 PARANOA,QUADRA 18 AE,PARANOA,-15.7706486938,-47.7785184026
3410196,53,530010,UBS 02 RIACHO FUNDO II,QC 01 CONJUNTO 1 LOTE 01,RIACHO FUNDO II,-15.9091293017,-48.0494424631
3513564,53,530010,UBS 02 ESTRUTURAL,AREA ESPECIAL 19,ESTRUTURAL,-15.7835839117,-47.9970923066
3633845,53,530010,UBS 10 SAMAMBAIA,QR 501 CONJUNTO 07 LOTE,SAMAMBAIA SUL,-15.883867,-48.087458
3677044,53,530010,UBS 14 CONDOMINIO PRIVE CEILANDIA,CONDOMINIO PRIVE LUCENA RORIZ MODULO 12 LOTE,CONDOMINIO PRIVE,-15.785212,-48.136596
3742822,53,530010,UBS 02 AGUAS CLARAS,QS 08 CONJUNTO 410 A LOTE 15,AREAL,-15.859492,-48.002295
3742857,53,530010,UBS 09 SAMAMBAIA,QN 317 AREA ESPECIAL,SAMAMBAIA SUL,-15.892762,-48.112735
3742865,53,530010,UBS 4 VEREDAS II BRAZLANDIA,AREA ESPECIAL 1 SETOR VEREDAS II,SETOR VEREDAS,-15.672786,-48.20032
3742873,53,530010,UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO,RUA DA ESCOLA 540,SAO SEBASTIAO,-15.9050344096,-47.7558319338
3781437,53,530010,UBS 02 RIACHO FUNDO I,QN 01 AREA ESPECIAL 01,RIACHO FUNDO I,-15.8793528181,-48.0006355047
4045998,53,530010,INSTITUTO DRA JULIANA CAMARGOS,RUA COPAIBA LOTE 01 TORRE C SALA 2601 2602 2603,AGUAS CLRAS,-15.8371780833,-48.0198669434
4979699,53,530010,UBS 4 DE SANTA MARIA,QR 207 307 CONJUNTO T,SANTA MARIA,-16.030060428,-48.028895258
4986725,53,530010,UBS 03 JARDIM BOTANICO,DF 140 KM 4 5 BOX 16 18 E 23 CENTRO COMERCIAL,JARDIM BOTANICO,-15.9638449604,-47.8188235384
4986768,53,530010,UBS 19 VISTA BELA,VISTA BELA NR ALEXANDRE GUSMAO,CEILANDIA,-15.809496,-48.212059
4986792,53,530010,UBS 04 ITAPOA,DF 250 KM 08 FAZENDA VELHA GALPAO DA ASSOCIACA,ITAPOA,-15.7516938702,-47.7150559847
5038669,53,530010,UBS 01 RIACHO FUNDO II,QC 06 CONJUNTO 16 AREA ESPECIAL 1 LOTE,RIACHO FUNDO II,-15.9228603845,-48.0437738354
5050340,53,530010,UBS 6 ARAPOANGA PLANALTINA,QUADRA 08 CONJUNTO I AREA ESPECIAL,PLANALTINA,-15.6407872155,-47.6400768757
5050359,53,530010,UBS 8 VALE DO AMANHECER PLANALTINA,AREA ESPECIAL,PLANALTINA,-15.67114,-47.645447
5117666,53,530010,UBS 5 GRANJA DO TORTO,VILA WESLIAN RORIZ AREA ESPECIAL,GRANJA TORTO,-15.7087239867,-47.9136273265
5167817,53,530010,UBS 1 PLANALTINA,QUADRA 18 CONJUNTO H AREA ESPECIAL,PLANALTINA,-15.6178068239,-47.6410681739
5295033,53,530010,UBS QS 04 RIACHO FUNDO I,QS 04 CJ 09 CASA,RIACHO FUNDO I,-15.883806,-48.013926
6216013,53,530010,UBS 4 PLANALTINA,ESTANCIA NOVA PLANALTINA QD 02 RUA A AREA ESPECIAL,PLANALTINA,-15.6198337463,-47.6805192232
6216021,53,530010,UBS 5 PLANALTINA,QUADRA 12 CONJUNTO D AREA ESPECIAL,PLANALTINA,-15.6394079481,-47.6471203566
6268269,53,530010,UBS 1 ITAPOA,QUADRA 378 CONJ L AREA ESPECIAL,ITAPOA,-15.7402434755,-47.7633186196
6662358,53,530010,UBS 2 BRAZLANDIA,QUADRA 45 AREA ESPECIAL VILA SAO JOSE,VILA SAO JOSE,-15.658907,-48.192987
6736602,53,530010,CERPIS,AV WL 04 SETOR HOSPITALAR OESTE,PLANALTINA,-15.6245660288,-47.6515030861
6770657,53,530010,UBS 5 BASEVI SOBRADINHO,VILA BASEVI AREA ESPECIAL 01 LOTE,SOBRADINHO,-15.646394,-47.889475
6770665,53,530010,UBS 4 SETOR DE MANSOES SOBRADINHO II,COND MINI CHACARAS QMS 30 AREA ESPECIAL,SOBRADINHO II,-15.635751,-47.8375381
6770681,53,530010,UBS 3 VALE DOS PINHEIROS SOBRADINHO II,COND VALE DOS PINHEIROS QD 45 A CONJUNTO A LOTE,SOBRADINHO II,-15.6208463399,-47.8216275573
6921736,53,530010,UBS 05 SAMAMBAIA,QN 523 AREA ESPECIAL,SAMAMBAIA SUL,-15.898024,-48.120954
7041594,53,530010,UBS 6 VALE DAS ACACIAS SOBRADINHO II,CONDOMINIO VALE DAS ACACIAS QUADRA 12 LOTE,SOBRADINHO II,-15.6228508473,-47.8364682198
7053754,53,530010,UBS 06 SAMAMBAIA,QS 122 CONJUNTO 06 LOTE,SAMAMBAIA SUL,-15.869936,-48.058807
7059892,53,530010,UBS 05 RECANTO DAS EMAS,QUADRA 804 CONJUNTO 20B LOTE 01,RECANTO DAS EMAS,-15.9241,-48.056108
